message_clean,suggestion,llm_category,responsible_dept,virality_score
"в не просто домбыра в целом прикольно было, но че за хуйня с этими ширмами после кааждого номера все закрывать и ждать по 3 минуты пока все там переставят ходячий замокта песня длилась 1 минуту и то хуево, а пока все переставляли за ширмами прошло уже 5 минут🤣 почему бы не менять состав оркестра хотя бы на 4-5 песен, чтобы не ждать после каждого номера еще дополнительно пока все поменяются местами",улучшить смену состава оркестра,events,,303.8
"Те кто хочет собрать комп, купите оперативу пораньше, а то сами видите как дорожают ОЗУшки…",купить оперативу пораньше,other,,140.4
"В последнее время встречаю в городских клубах много наших студентов с сду, тут сидят такие? Давайте создадим чат",создать чат,relationships,,158.2
"Бля, го петицию напишем, чтобы сверху бочек розетки починили",написать петицию,infrastructure,Общежитие,468.4
Возьмите ктонить атенденс по физре пж неуспеваю капец (в коментах напишите кто пойдет),взять атенденс,academics,Деканат,134.8
перестаньте говорить красивым девушкам что они красивые. начните говорить уродливым парням что они уроды,уважение к внешности,relationships,,805.8
"“Оған жазайын ба?” “Мен жайлы олар не ойлайды” “Мидкадан қадаламын” “Ақша жоқ” “Түрім онша емес” и т.д Просто вспомните әлем настолько үлкен,біздің проблемамыз на самом деле шешіледі. Тек қатты стрессовать етпей,жеңіл қабылдасақ",не стрессовать и легко относиться,mental_health,,818.0
"[URL] Не стоит все слишком торопить. Такое бывает, попробуйте 3-4 недельки отдохнуть друг от друга и начать заново начать. Даже если после такого нету чуств, только тогда стоило бы. На своем личном опыте говорю. У меня с девушкой был такой период когда мы друг друга бесили и не чувствовали ничего. Решили взять перерыв друг от друга на месяц, щяс мы снова счастливы 😊",временно отдохнуть друг от друга,relationships,,165.8
"Шахматтан бір абсенс бар еді, соны алып тастай ала ма?",удалить абсенс,academics,Деканат,132.0
"[URL] в первую очередь попроси у родных. если не выйдет, то возьми. так как лучше дропнуть чем взять retake + стипендии не будет + плохо влияет на гпа. потом закроете займ с родными. типо как рассрочка. или со стипендии закроешь.",взять займ у родных или закрыть со стипендии,scholarship,,139.4
"можно дропнуть сейчас туркиш, потом типо во втором курсе взять его?",дропнуть курс и взять позже,academics,Деканат,134.6
"Это пиздец как стыдно, так как он финансово много помогает. Так что учитесь ребята, либо сразу говорите о таких вещах",учитесь и говорите открыто,mental_health,,221.0
"осы түсінбеймін ше любой универді шарага шарага дейсіңдер сдуды да оқуға не стоит, шарага деп жамандайсыңдар сдуға түсу көп түлектің арманы ғой жамандай бермей жақсы жақтарын да айтуға боладығой как никак өздеріңде оқисыңдар осы жерде, қастарыңдағы ең жақын адамдарды да осы жерден тапқан боларсыңдар базар жоқ минустары бар, бүткіл жерде бар минус деген, оқу қиын, қадаласың бірақ қазір қай university оңай дейсің білім керек болғансоң қиналасың өздерің ішкен құдыққа өздерің түкірмесеңдерші клең негатив шүкір десеңдерші осындай универде оқуға мүмкіндіктерің болғанына👐🏻",уважать и отмечать положительные стороны,relationships,,738.8
Ивент клааб устройте ивент связанный с нг🙏🏻 Может ред холлда посмотрим Один дома🎄🎄,устроить ивент в Ред Холле,events,,565.2
как дропнуть предмет? можно тутор без рофла,тутор по дропу,academics,Деканат,134.2
КАКОГО ХУЯ ГОВНО В РАКОВИНЕ?? ВЫ ЧЕ ЕБНУЛИСЬ. СУКА ШЕШЕЛЕРЫНМЕН ЖАСТЫ АДАМ СОНЫ ТАЗАЛАЙМА КАЗЫР ДАЛБАЕБТАР БЛЯ? СОЛ БОКТЫ АЛЫП ШЕШЕЛЕРЫНЕ ЖЕГЫЗУ КЕРЕК СЕНДЕРДЫН,убрать мусор,dorms,Общежитие,1175.4
42% префка по икт как думаете если зачалить можно до 70% довести? И если префка вышла никак нельзя с преподом договориться о бонус пойнтах?,договориться о бонус пойнтах,academics,Деканат,219.0
"я перваш , и за первый семестр оплатила млн и вроде сказали что за второй семак тоже нужно доплачивать лям. но на портале у меня все еще 600к , можно ли просто сверху докинуть (допустим 500к) чтобы взять ну где то 30 кредитов? подскажите пожалуйста 🙏",докинуть 500к,academics,Финансовый отдел,135.4
"кореан тфлщики, именно те у которых шатекова гульнур, как обстоят у вас дела с префками? у нас подозрительно ниже 40-50, у многих 30 даже. как то нельзя добавить баллы? по всем предметам normal выходят, именно кореан пытается нас завалить. у нее и то нет силлабуса, в мидке/файнал не говорит какие конкретные темы придут, ее система оценивания просто сбивает с толку, нормально темы не объясняет, 10-15 мин с опозданием приходит на пары, а нас за 5 минутное опоздание ругает. уже в субботу файнал. может коллективно жалобу напишем? или уже поздно?",добавить баллы,academics,Деканат,311.0
Нормально просить бонус баллы за префайнал у учителя? Просто недавно парни с другой группы спрашивали по почте резы первой мидкы(он их только вчера проверил) и поставил им 0. А у меня префка выходит 36 хотелось бы что бы хотя бы 40(,просить бонусные баллы,academics,teachers,137.0
"я платник. можно ли вернуть деньги с портала? у меня до этого на балансе были 151 к и я подумала что нужно заплатить так как хотела дропнуть 1 предмет, соу ща 300 к с чем то и я же не должна буду снова в след спмаке все это платить? а то если на портале стоят деньги, то портал закрывают из-за того что не заплатила и я не смогу составить расписание. а хотя говорят что это деньги которые уже есть. я не понимаю 🫠🫠 можно ди вернуть деньги чтобы маньше заплатить? если да то до какого числа",вернуть деньги с портала,academics,Финансовый отдел,165.0
"Если после файнала апелляции попросить учителя баллы, она может дать? Отношение хорошие",попросить учителя о баллах,academics,teachers,132.4
как думаете может в sdu устроить blind date ?,организовать blind date,events,,127.4
"[URL] А я хочу посоветовать вам ещё один туалет он находится в I блоке, на 2 этаже, с правой стороны, правее лекционного кабинета. Не знаю, для студентов этот туалет или нет, но там практически нет людей, всегда свободно, и можно спокойно посрать. Есть два минуса, первый это отсутствие туалетной бумаги, второй непонятно мужской это туалет или женский, ибо не написано. Такой же туалет есть и на 3 этаже. Так что если приспичило дать на кишку, смело идите туда",использовать туалет в I блоке,infrastructure,Общежитие,212.6
"Собираем подписи для заявления на апелляцию для перепроверки баллов выставленных Дауреном, писать на [USER]. Просим написать Имя Фамилию на английском, ID, подпись, сколько Вы набрали на midterm и сколько Вам поставили",сбор подписей для апелляции,academics,Деканат,473.8
"Общения че-то не хватает, давайте поговорим о чем нибудь, побеседуем",поговорить о чем-нибудь,relationships,,160.2
"Бля неге sdu жана жыл тойламайды казну туран дегендер сиякты, банкет жасап бүкіл студентке (яғни бір факультет деген секілді) 😭",организовать банкет,events,Административный отдел,356.6
Легко списать главное не нервничать а то не сможешь,не нервничать,academics,,184.4
"насчет аманат, normal общага, но есть нюансы. например то, что здесь тупо не предоставляют фильтрованную воду, а ту 6 литровую, что есть внизу, продают за 750 тг. есть стади рум, но там только 4 места, а в общаге 50 человек, что не очень удобно. в целом нормик",предоставить фильтрованную воду,dorms,Общежитие,200.2
"ответ тому человеку, который спрашивал про жату аманат. в целом уютная общага, просторные комнаты, но есть кое-какие нюансы. стирка платная, на кухне часто занята плита и тд. приходится ждать пока освободится, в стади руме всего 4 мест , что очень неудобно. а так все нормик",улучшить инфраструктуру,dorms,Общежитие,143.0
"Можете помочь, по социологии возможно добавить балл? Всего лишь 2 бала не хватает а teacher пишет что никому не поставит",добавить балл,academics,Деканат,173.4
Предлогайте новогодний вариант аватарки sdu ангме👇,новый вариант аватарки,other,,164.6
"Месячные кезинде ужасно арине, ношпа комектеспейды, ибупрофен деген обезбол жаксыы, ева прокладкасы все для домада сатылад. Окинип кетем кейде месячные кезинде ужасноо, ещё файнал аптасы басталганда келед именно🫰🏻 алы ишим ауырып жур, не истейм деп озим ойланып журм, обезбол ише берген де зиян шыгар, зиян болса айтындарш пжпжп. Просто естигем типа обезбол ишти койдырганымен, баска органдарга зиян андай мындай деп",использовать обезболивающие,mental_health,,274.4
"Ивент club дискач организуйте. Везде есть,один sdu халяльный",организовать ивент club дискач,events,,491.0
"Мде сабактардын сессиясы кай жакта отеды, бочкада ма? (Финансы) Кошыруге возможность болама? Микронаушникпен никакпа? Пж салынызшы осыны🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 😭😭",возможность пересдачи или использование микронаушника,academics,Деканат,269.8
"Өмір қызық емес сияқты. Не істеуге болады? Бұрын бұлай сезінбейтін едім. Достармен, таныстармен, отбасымен араласу? Ол бар. Сабақ норм. Хобби болады. Кітаптар оқу қатты қызық емес. Қыдыру? Болады, қатты қызық емес. Бүкіл нәрсе қайталанып жатқандай. Универ, жаттығу жасау, сабақ, адамдармен араласу. Күн жылы болса көп қыдыруға болар еді. Қыста баратын жерлер жоқ. Кеңес берсеңіздер? Админ салыңыз, өтініш. 😅","заниматься хобби, читать книги, общаться с людьми",mental_health,,171.2
"Нравится лдна девушка, уже 4 раза гуляли вместе, как мне разбавить неловкое молчание чтобы не разрушить все?",разбавить неловкое молчание,relationships,,181.0
"Осы шее кейбір группаларға қызығасың ше. Ай сайын жинала ма бірбәле ғо. Еще көөөп боп ше. Мен байғұс өз группамда біреуін дұрыс танымаймын әлі. Не ғооо группаларыңа адам керек болса, тусить еткенде шақырыңдаршыы пж Комм жазсаңдар. Жазам",организовать тусовку,relationships,,376.6
"Я короче живу в жаташке для девочек.И тут вообще нету парней Но мне иногда хочется там обнимашек, поцелуев и там что то. Думаю там 2 семестр переехать в другую жаташку.Там где есть парни нету запретов или тут предложить одной девочке.Во время этого вообще невозможно становиться☹️☹️ И вообще сдушники тормозы капец",переехать в другую жаташку,dorms,Общежитие,399.2
"Что сказать учителю чтобы добавила 7 баллов? По остальным все нормально, кромее калкулуса 3, во время lecture активничал и помогал",активно участвовать в лекциях,academics,teachers,145.2
можем кинуть жалобу на админов лост энд фаунд по идее это очень легко сделать,кинуть жалобу,admin,Административный отдел,308.4
"Бля совет вам. Если вы не готовы представить свою бывшую не важно бывшего, с другим. У вас были более менее хорошие отношения, но начали часто ссориться, решайте нахуй проблемы. Сядьте, поговорите, позвоните, пообщайтесь, скажите что вас не устраивает. Не отказывайтесь от человека так просто, только если у вас разные ценности и взгляды на жизнь. Но СУКАА, если у вас все гуд, просто накапливаются недопонимания? Посидите обговорите, такая мелочь не должна быть причиной разлуки. Если вы не готовы обсуждать, представьте их с другими, которые целуются, рады счастливы, и все. Если вам похуй, базару нет, если нет иди Блять обсуди все. Не ждите что вам напишут, лучше постараться и пожалеть, чем жалеть что не постарался когда-то. Я ебланил, жалею. Но уже поздняк",решать проблемы в отношениях,relationships,,359.0
"Подругам үйінен шықпайды,она не смогла поступить никуда потому что она даже не готовилась просто сидела дома и ничего не делала. А сейчас когда все её друзья в городе,учатся,работают она просто сидит дома😐Я предлагаю ей выйти,погулять вместе но она отвечает “зачем? лучше сиди дома”. У нее короче есть 3 подруги включая меня и все мы приглашаем её,типо жур кино корып кайтайык либо на коньки сходим но она как всегда отказывает. Она говорила что дома у нее проблемы,поэтому мы хотим чтобы она отвлеклась,бір көңіл көтеріп қайтсын дейміз(өзіміз заплатим деп)но она отказывает. Я уже не знаю что делать с ней. Я её почти не вижу если честно. Прекратить общение тоже было бы странно. Что посоветуете короче😢",погулять вместе,mental_health,,258.4
"Идеи для Тайного Санты, что будет нужным или интересным для айтишников, бюджет 15к💐",подарки для айтишников на 15к,events,,245.6
Отмените фразу «подшарил(а)» адамнын нервысына тимей,отменить фразу,humor,,210.6
"Being hurt by someone you liked a lot feels bad. I texted one guy asking “how are you”, and he was mean, calling me monster for no reason. I knew he wasn’t attracted to me, but I feel stupid for having feelings for him. Now I’m sad 😞. How can I deal with this feeling faster?",справиться с чувствами,mental_health,,277.6
"я расстался с девушкой на стрессовой ситуации . из-за моей незрелости она страдала: часто накручивала, я был нестабильным и т.д. в общем, есть class вещей, которые нужны поменять. скоро ведь каникулы. мы не увидимся пол месяца. есть ли смысл спрашивать у нее напрямую готова ли она возобновить отношения, если я за это время отсутствия попытаюсь поменяться? как думаете, это не надавит на нее?",изменить поведение,relationships,,196.6
"Что подарить девушке на НГ? Айфон анау мынау деп қумай, миға сиятын заттар болса (студентпіз дегендееей) Мне кажется лучше попросить ее вишлист, и оттуда покупать. Мой парень у меня также спрашивал мой вишлист на все случаи жизни и дарил мне подарки оттуда",спросить вишлист,relationships,,246.2
"Балзия апай мат, если попросить балл косып бере алама? катты керек боп тур😭😭",попросить балл,academics,Деканат,223.0
"Я походу тревожник в отношении а моя девушка походу избегающяя. Пока сам толком не разобрался но мне так кажется. Как только осознал это, начал пытаться контролировать свое желание ее контролировать. Так же много написывать. Но иногда не получается избавится от тревожных мыслей но я не заебываю ее сообщениями о чем думаю. В последнее время я чувствую холод с ее стороны. Думаю из за стресса. У нее реально сейчас не легкий период в жизни. Ее уволили с работы и с семьей проблемы. Думаю из за этого и жду пока все нормализуется. Не лезу с лишними вопросами а хотя хочется. Вот не знаю что делать. Попытался поговорить но она говорит что ей сейчас трудно и не до разговоров. Она не полностью отменила его а просто сказала потом поговорим. Мне тревожно не потому что я боюсь что она изменит или тип того. Я боюсь только потерять отношения из за пустяка. Так вот, посоветуйте пожалуйста что мне сейчас сделать? Просто ждать?",контролировать свое желание ее контролировать,mental_health,,204.4
Пиндоштан заказ бере алатындарын барма карго жанапост болса сосын пжпжп админ салшыыы,добавить карго и админ,admin,Административный отдел,160.0
"Парни, если тормозите, либо до конца тормозите, либо нормально делайте первый шаг пж. Без отсылок на свои собственные комплексы",быть искренним и не тормозить,relationships,,133.6
"где найти работу онлайн, готова работать с зарплатой хотя бы 100 тысяч. Как стать куратором на 140 или хотя бы онлайн репетиторства? У меня айлтс 6.0 и много курсов не хотят работать с таким результатом💔",стать куратором или онлайн-репетитором,career,,188.0
"[URL] Короче единственный способ похудения – дефицит калорий. Start tracking your calories. Начните отслеживать свое ежедневное потребление калорий. Упражнения ( танцы, йога, тренажерный зал, 10 тысяч шагов, тд) это дополнение. Упражнения, тд. никак само собой работает если не будешь есть меньше ( то есть невозможно сбросить вес без дефицит калорий). Часто слышу там люди которые всю свою жизнь былы стройными дают тупые советы. Не слушай их. Они не понимают нас. У нас зависимость от еды чаще всего. Ищи calories in and calories out. Норма для женщин среднем 1800-2100 ккал в день (зависит от рост). Нужно быть в дефиците калорий. Ну да будет сложно, но через неделя станет легче. Пейте достаточно воды, жуйте жевательную резинку, ешьте значительно меньше, отслеживайте потребление калорий каждый день. Некоторые люди говорят типа если так худеешь потом сильно будешь сильно набирать вес. Но ты не от воздуха набираешь вес. Люди которые набрали много вес после похудение просто сели много еды. Если ты не будешь так сделать, тогда вообще не беспокойся. Ещё раз повторяю не слушайте советов людей, которые всю жизнь были худыми. Люди, которые страдали от избыточного веса, лучше всего вас поймут. Don't take advice from people who have been skinny their whole lives. People who have been overweight understand you the best. Никому не стоит сказать что начала сбросить вес.",отслеживать калории и упражнения,mental_health,,400.2
"не пойму почему вас волнует чья то внешка, когда вы находитесь в учебном заведении, а не в модельном агентстве",,relationships,,396.0
парни что вам мешает делать шаги и признаваться в любви,делать шаги и признаваться,relationships,,226.8
"тем кто зависим от порно, тем кто пытались бросить но не получилось рекомендую эту книгу: [URL] мне он помог, без прикола. я думал что останусь слабаком и не смогу бросить порно никогда. силы воли не хватало. как только нет родителей дома, у меня мозг автоматически думал о порно. и рука сама по себе открывала сайты. я не мог контролировать это. а сейчас в моей жизни порно нет (около полгода). дрочу иногда раз в 1-2 месяца. без порно. чисто физиологически (когда прям сильно хочется)",книга по ссылке,mental_health,,780.4
"ДЛИТЕЛЬНЫЕ СИЛЬНЫЕ ОБИДЫ - МАРКЕР ИНФАНТИЛЬНОСТИ. И ВАЖНА НЕ ПРИЧИНА, А ИМЕННО РЕШЕНИЕ ХРАНИТЬ НА СЕРДЦЕ ГРУЗ БОЛИ ИЗ ПРОШЛОГО, НЕСТИ ЕГО ЧЕРЕЗ ДНИ В БУДУЩЕЕ И ПОЗВОЛЯТЬ ВЛИЯТЬ НА НЕГО. РЕБЕНОК ВЕРИТ, ЧТО ВСЕ ЛЮДИ ОСОЗНАНЫ НА 100% И ЗНАЮТ, КОГДА ПОСТУПАЮТ ПЛОХО, ТО ЕСТЬ, ДЕЛАЮТ ЕМУ БОЛЬНО НАЗЛО. ОН ВЕРИТ, ЧТО «ВЗРОСЛЫЕ» ЛЮДИ ЕМУ ДОЛЖНЫ, А, ЗНАЧИТ, ВЕРИТ В СУЩЕСТВОВАНИЕ ИДЕАЛЬНЫХ ВЗРОСЛЫХ, ЧТО СТАВИТ ЕГО В ДЕТСКУЮ ПОЗИЦИЮ. ОН НЕ РАЗДЕЛЯЕТ ПРОШЛОГО И НАСТОЯЩЕГО, ПОЭТОМУ СНОВА И СНОВА ПЕРЕЖИВАЕТ БОЛЬ ПРОШЛОГО. ОН СЧИТАЕТ, ЧТО, ЕСЛИ ЕГО ОБИДЕЛИ, ЗНАЧИТ ЕМУ ДОЛЖНЫ ВОЗМЕСТИТЬ, ДАЖЕ ЕСЛИ ЧЕЛОВЕК ОЧЕВИДНО НЕ БУДЕТ ЭТО ДЕЛАТЬ. С ПОМОЩЬЮ ОБИДЫ ОН ПЫТАЕТСЯ МЕНЯТЬ ДРУГИХ ЛЮДЕЙ, А НЕ МЕНЯТЬСЯ САМ. ОН БУДЕТ ИСКАТЬ УНИКАЛЬНОСТЬ И ЦЕННОСТЬ СВОЕЙ ОБИДЫ, ЧТОБЫ СОХРАНИТЬ СВОЕ ПРАВО НА СТРАДАНИЯ, КОТОРЫЕ ДЕЛАЮТ ЕГО ОСОБЕННЫМ, ЖЕРТВОЙ, А ОКРУЖАЮЩИХ ДОЛЖНЫМИ ЕМУ. ОН ВЕРИТ, ЧТО ЕГО ЭМОЦИИ - ЭТО ТАКАЯ ЦЕННОСТЬ, РАДИ КОТОРОЙ ЛЮДИ В ЛЕПЕШКУ РАЗОБЬЮТСЯ, НО НЕ ДАДУТ ЕМУ СТРАДАТЬ, ЧТО, ОПЯТЬ ЖЕ, ДЕТСКАЯ ПОЗИЦИЯ. ПО БОЛЬШОМУ СЧЕТУ ОН СОХРАНЯЕТ ВЛАСТЬ ОБИДЧИКА НАД СОБОЙ ЧЕРЕЗ ЭМОЦИИ, ЛИШЬ БЫ ПОЛЬЗОВАТЬСЯ ВТОРИЧНОЙ ВЫГОДОЙ. А ЭТО НЕВРОТИЧНОЕ И ИНФАНТИЛЬНОЕ ПОВЕДЕНИЕ. Надеюсь это прочитают нужные люди, которым в лицо я не могу этого сказать, ведь я ебанное ссыкло.",отпустить груз боли,mental_health,,309.0
"Мне кажется важно понимать, что вы не обязаны всем нравиться как и остальные люди не обязаны вам нравиться. Единственное чтобы вы вели себя адекватно и подобающе и ваше поведение не зависело от неприязни",адекватное поведение,mental_health,,442.0
"Ребята на связи [USER]* , есть идея запустить локальный SDU Дайвинчик . Главные фишки: фильтрация по факультетам/специальностям (найти своих), анонимный чат с владельцем анкеты (можно написать, не раскрывая личности сразу) и еще пачка кастомных функций специально для наших студентов. Интересно ваше мнение: пользовались бы вы таким сервисом? Прошу оставить реакцию или комент 😌💬",запустить локальный SDU Дайвинчик,other,,970.6
"дормда ким калды? у меня осталась одна вещь в комнате, кто смог бы взять пока не убрали?можете написать в комменты кто сможет, я сама вам напишу 🥹🥹",взять вещь временно,dorms,Общежитие,195.0
[URL] Мир серым кажется деген жаңағыдан кейін өзі солай болады бұл - ешқандай да ғажайып емес бұл - биология. Жаңағыны істеудің бір себебі - животный инстинкт немесе нәпсі Бұны қалпына келтірудің бір жолы бар ол - ораза ұстау. неге десеңдер - ол животный интинкты басады тестостеронды қалпына келтіреді еркектік энергияны қайтарады. Қалай десеңдер - ораза кезінде адам аш болады аш болса организмде қанағат алу деген функция өшіп тірі қалу яғни выживание функциясы қосылады. Міне осы кезде сендер животный инстинкты баса аласыңдар. Иа қиын болады басында өйткені любой нәрсе басында қиын болады бірақ шыдаңдар бұл өздерін үшін жақсы. Кейін рақмет айтатын боласыңдар әлі,оздоровление через пост,mental_health,,280.4
"Не знаю поможет ли это кому-то дойдет ли до нужных людей, но записывайтесь к дерматологам если у вас прыщи! Только не тем кто советует пользоваться балтушкой или просто не есть сладкое и всякие подобные не особо способствующие методы. Я уже около полугода записана к своему городскому дерматологу, переживала изначально думала может сделает состояние моей кожи хуже, но нет. Она не стала прописывать мне миллион новой уходовой косметики, дала лишь 2 новых крема. (Возможно просто мой тонер и умывашка норм). Первый крем- клензит с и второй от биодермы. Я пользовалась клензитом с два месяца и кожа стала очень гладкой и не такой раздраженной, прыщей становилось все меньше. Сейчас перешла на клензит и кожа без прыщей! Единственное у меня капилляры близко расположены из-за чего я почти всегда выгляжу немного красной и от этого может выглядеть что у меня кожа такая же как раньше(",записывайтесь к дерматологам,mental_health,,275.4
Всем привет. Скажите где искать офферы на работу? Может тг каналы или сайты специальные? Или же эффективный способ это идти туда и спрашивать нужны ли им еще люди?,"искать на тг каналах или сайтах, спрашивать напрямую",career,,202.2
"[URL] Самое главное хорошо подготовить кожу перед макияжем и тогда тон ляжет классно. Для новичков, советую приобрести хотя бы самую базу из косметики:тональный крем/сс/бб крем легкого покрытия,консиллер,бронзер/контур, румяна, карандаш для бровей,тушь,пудра рассыпчатая/прессованная,карандаш для губ и блеск. Из тональников могу порекомендовать elian,shik, wet n wild, eveline, influence. Из бюджетного сегмента и не такие дорогие, но при это качество нормальное. Бронзер/контур можно взять от catrice, influencе, а за остальных брендов не так сильно шарю. На карандаше для бровей и глаз можно сэкономить. Я уже два года пользуюсь карандашом, которого купила на барахолке Туториалов в тт, которые объясняют от и до мало, так что лучше выбрать тот тип макияжа, который нравится, и просто смотреть туториал на это А так я бы порекомендовала эти туториалы: 1) [URL] - bambie makeup 2) [URL] - some kind of baddie makeup 3) [URL] - victoria secret makeup",подготовка кожи и базовая косметика,other,,1049.0
"Это так угарно, смотреть на то как парни и девушки ненавидят друг друга в sduangime. Бро, если девушка/парень как-то тебя обидели или задели, это не значит что все девушки/парни такие. Вы реально неудачники обиженные, хватит хуйней страдать.",перестать обижаться,humor,,432.8
Осыны крч кансольга коясын и порталды ашып аласын го,настроить портал,infrastructure,IT департамент,1445.8
"редис, братуха в целом главное понимать, что активная обида вредит только тебе, даже если ты «жестко мстишь», на деле ты просто доказываешь, что сейчас за тебя и твою жизнь принимаешь решения не ты, а образ обидчика, который ты хочешь задеть. лучшая месть - стать счастливым, нивелировать влияние человека на твои эмоции, а как этого добиться - рефлексией, развитием самостоятельности и независимости, работой с психологом или иначе. выбор за тобой. ну и никогда не игнорируй яркие неприятные чувства от общения с человеком если они есть, нужно сохранять дистанцию, на которой они не будут перехватывать контроль над тобой.",стать счастливым и нивелировать влияние,mental_health,,184.4
"Ребят, делаем автопик! Если записываетесь на 10 января — сделаем со скидкой. Доступные места: На 13 января — осталось 3 места На 15 января — много мест Пишите в ЛС: [USER] P.S. Также могу скинуть скрипт, который открывает регистрацию локально (бесплатно), если кому нужно.",участие в автопике,other,,635.6
"балалар требования ко внешности девушек намного превосходят требований к росту да даже этот несчастный карлик нурсултан жетыген женился на красотке, но у некрасивой девушки нет вообще никаких шансов на романтические отношения ростом не удались — упор делайте на харизму, ум, юмор, тело и тд бля жас бала емессындерго бас истетсендерш","упор на харизму, ум, юмор",relationships,,303.0
"девочки, если вы переживаете расставание, когда партнер поступил с вами как мудак, просто думайте каждый раз, что действительно ваш человек так вас не ранил бы. мне это помогает, я начинаю понимать, что парень, который действительно «мой человек», не стал бы мне изменять, не стал бы общаться с теми девушками, не стал бы делать то что уже сделал в отношениях. поверьте, вы достойны genuine любви, и эту любовь даст вам кто-то хороший, кто так же будет любить вас искренне взаимно, как и вы его. чем раньше вы отпустите того мудака, тем скорее будет лучше вам самим. надеюсь это хоть как то поможет тем, кто сейчас переживает трудные времена. помните, вы любимы людьми вокруг себя, вы не одиноки",поменять мышление,mental_health,,413.2
помогу с регой бесплатно кто найдет меня в коментах sdu ангиме я бываю иногда активным че то никто не пишет не упустите шанс просто хочу помочь и все,помощь с регой,other,,176.4
"urgent если у меня обучение 855.000,я могу оплатить в портале там 600.000 например и делать себе расписание?",оплатить часть стоимости,academics,Деканат,171.0
"📌 Обновление по регистрации курсов Регистрация, запланированная на today (10 января), не состоится из-за технических неполадок. ✅ Новый старт: понедельник (13 января) в 18:00. Остальные условия и инструкция остаются без изменений. 🙏Просим прощения за принесенные неудобства.",новый старт регистрации,academics,Деканат,1245.6
"110 причин жить. Если ты на грани депрессии или борешься с ней, этот список для тебя. Чувствуешь суицидальные мысли? Звони на горячую линию, говори с психотерапевтом, другом, родными — с кем угодно, кто выслушает. 1. Встреча с родной душой. 2. Свадьба друзей. 3. Звёзды ночью. 4. Вкусная еда. 5. Путешествия по странам. 6. Ароматные свечи. 7. Любимая музыка. 8. Концерты. 9. Люди, которые тебя любят. 10. Игра в снежки. 11. Пляжный отдых. 12. Закаты. 13. Восходы. 14. Походы в лес. 15. Собаки, кошки, питомцы. 16. Новые фильмы. 17. Старые фильмы. 18. Автокинотеатр. 19. Базары и рынки. 20. Новая песня любимого артиста. 21. Рисование. 22. Лепка из глины. 23. Дни рождения. 24. Шутки, понятные только друзьям. 25. Смех близких. 26. Тёплый дом в мороз. 27. Костёр с зефирками. 28. Встречи со старыми друзьями. 29. Запах цветов. 30. Мягкие игрушки. 31. Аромат свежего печенья. 32. Караоке. 33. Ночёвки с друзьями. 34. Любимая видеоигра. 35. Новый язык. 36. Прогулки по пляжу. 37. Все океаны мира. 38. Пушистые кролики. 39. Тест духов в магазине. 40. Горячий душ. 41. Чай или кофе. 42. Радуга. 43. Помощь раненым животным. 44. Бомбочки для ванны. 45. Уборка мусора ради планеты. 46. Свадьба. 47. Бродвейские шоу. 48. Шум дождя. 49. Долгие поездки. 50. Путешествие на поезде. 51. Мемы. 52. Зоопарк. 53. Забавное искусство. 54. Запах старых книг. 55. Бабочки. 56. Сбор ракушек. 57. Яркие цвета. 58. Письма по почте. 59. Вечеринки-сюрпризы. 60. Тёплые простыни. 61. Чтение. 62. Ночное плавание. 63. Ужины с друзьями. 64. Утренние пробежки. 65. Старые фото. 66. Музеи. 67. Мягкие свитера. 68. Блёстки. 69. Аквариум. 70. Объятия. 71. Снежные ангелы. 72. Праздники. 73. Домашняя еда. 74. Американские горки. 75. Украшение вечеринок. 76. Розыгрыши друзей. 77. Танцы. 78. Пение в душе. 79. Встреча с любимым животным. 80. Знакомство с героем. 81. Пузырчатая плёнка. 82. Ледяная вода в жару. 83. Поэзия. 84. Примерка смешной одежды. 85. Время с друзьями. 86. Городские пейзажи. 87. Наряд в любимом цвете. 88. Дикая природа. 89. Коллекция наклеек. 90. Добрые дела. 91. Смех до слёз. 92. Тёплое одеяло из сушилки. 93. Шитьё. 94. Мечты о будущем. 95. Ночные разговоры. 96. Пересмотр любимого сериала. 97. Пузыри от жвачки. 98. Настолки. 99. Сидеть под дождём. 100. Мыльные пузыри. 101. Новые рецепты. 102. Уроки Боба Росса. 103. Пикники. 104. Качели на покрышке. 105. Старинная архитектура. 106. Книги. 107. Выращивание еды. 108. Чистое небо. 109. Выпечка вкусняшек. 110. Новые хобби. Всё будет лучше, обещаю. Жизнь — не только тоска. Ты ещё столько не попробовал! Тебя любят, ждут и ценят. Держись, всё наладится. 💗",обратиться за помощью,mental_health,,1439.0
